Edit Factor,Eigenvalue (Real),Eigenvalue (Imag)
0.0,31.641589825484544,0.0
0.0,-12.641589825484523,0.0
0.0,2.195909516583681e-17,2.464482490989925e-17
0.0,2.195909516583681e-17,-2.464482490989925e-17
0.0,1.3531313174929178e-17,0.0
0.0,-1.0,5.874748045952207e-16
0.0,-1.0,-5.874748045952207e-16
0.0,-1.0000000000000009,0.0
0.0,-0.9999999999999981,0.0
0.0,-0.9999999999999993,0.0
0.0,7.131810063149807e-18,5.638305185933379e-17
0.0,7.131810063149807e-18,-5.638305185933379e-17
0.0,-0.9999999999999998,0.0
0.0,-1.0000000000000004,0.0
0.0,-1.000000000000001,0.0
0.0,-6.047462940079583e-17,0.0
0.0,3.345407085715788e-17,0.0
0.0,-0.9999999999999996,0.0
0.0,-3.486871856619161e-17,0.0
0.0,9.30682454330037e-17,0.0
0.0,-0.9999999999999999,0.0
0.0,-0.9999999999999999,0.0
0.0,-0.9999999999999998,0.0
0.0,-6.124027597630775e-17,0.0
0.0,-8.070689998848379e-17,0.0
0.0,-1.0000000000000004,0.0
0.0,-5.586434326718243e-17,0.0
0.0,2.4811363060824542e-17,0.0
0.0,-1.0000000000000002,0.0
0.0,-0.9999999999999998,0.0
0.0,6.318488340111894e-17,0.0
0.0,-5.770919679401003e-17,0.0
0.0,-1.0000000000000007,0.0
0.0,-1.0000000000000004,0.0
0.0,1.3926182195592048e-16,0.0
0.0,-2.5369794542840456e-17,0.0
0.0,-0.999999999999999,0.0
0.0,-0.9999999999999996,0.0
0.0,1.341076835708588e-16,0.0
0.0,-4.433105201502601e-17,0.0
0.0,31.64158982548455,0.0
0.0,-12.64158982548453,0.0
0.0,-0.9999999999999996,0.0
0.0,-1.0000000000000009,0.0
0.0,-1.0000000000000004,0.0
0.0,-1.3517718412286366e-16,0.0
0.0,-1.929662467638928e-17,0.0
0.0,-0.9999999999999996,0.0
0.0,5.918982699941477e-17,0.0
0.0,-4.1100280092157785e-17,0.0
0.0,-0.9999999999999998,0.0
0.0,-1.0,0.0
0.0,-1.0000000000000004,0.0
0.0,6.369978857347257e-17,0.0
0.0,-2.3698629237966145e-17,0.0
0.0,-1.0000000000000004,0.0
0.0,1.9218313216364002e-16,0.0
0.0,-1.9756556651960873e-17,4.023929859237256e-17
0.0,-1.9756556651960873e-17,-4.023929859237256e-17
0.0,-0.9999999999999988,0.0
0.0,-1.0000000000000002,0.0
0.0,-0.9999999999999998,0.0
0.0,-2.5785441453531608e-17,0.0
0.0,1.9400250195734556e-17,0.0
0.0,-1.0000000000000002,0.0
0.0,-0.9999999999999998,0.0
0.0,-1.199071933120382e-16,0.0
0.0,1.689966265845012e-17,0.0
0.0,-0.9999999999999998,0.0
0.0,-1.0,0.0
0.0,-9.050777931018945e-18,0.0
0.0,-1.4016262856250055e-16,0.0
0.0,-0.9999999999999996,0.0
0.0,-1.0,0.0
0.0,4.635802042513363e-17,6.0790504987384e-17
0.0,4.635802042513363e-17,-6.0790504987384e-17
0.0,-1.0000000000000002,0.0
0.0,-0.9999999999999996,0.0
0.0,3.7869399925256424e-17,0.0
0.0,-6.578073692286337e-17,0.0
0.05,31.9999473863327,0.0
0.05,-11.845527446731575,0.0
0.05,-2.1388943821885817,0.0
0.05,-1.6694185852489378,0.0
0.05,-1.402228238430119,0.0
0.05,-0.5307427558725992,0.0
0.05,1.72584658358421,0.0
0.05,1.664630336448911,0.0
0.05,1.1941112276032544,0.0
0.05,0.46906293268489435,0.0
0.05,1.0715443325071303,0.0
0.05,0.5640561954928234,0.0
0.05,-1.1023875861821222,0.0
0.05,-1.0000000000000016,0.0
0.05,-1.3197582160316715e-16,0.0
0.05,-0.9999999999999994,0.0
0.05,-1.0000000000000013,0.0
0.05,4.7916157933603855e-17,0.0
0.05,-1.6814198689721493e-16,0.0
0.05,-0.9999999999999999,0.0
0.05,-1.0000000000000007,0.0
0.05,-6.303937834837769e-17,0.0
0.05,8.193923514747292e-17,0.0
0.05,-1.0,0.0
0.05,-0.9999999999999991,0.0
0.05,1.8491537735850113e-16,0.0
0.05,5.5490193907735664e-17,0.0
0.05,-0.9999999999999994,0.0
0.05,-1.0000000000000007,0.0
0.05,-1.0,0.0
0.05,-1.0000000000000009,0.0
0.05,-1.0,0.0
0.05,-0.9999999999999994,0.0
0.05,-1.000000000000001,0.0
0.05,-1.0000000000000002,0.0
0.05,-1.0,0.0
0.05,-0.9999999999999998,0.0
0.05,-0.9999999999999999,1.3742898782769165e-17
0.05,-0.9999999999999999,-1.3742898782769165e-17
0.05,-1.0,0.0
0.05,31.847506870870617,0.0
0.05,-12.166770936923646,0.0
0.05,1.236486559008757,0.0
0.05,0.47852362025092626,0.0
0.05,-1.395746113206648,0.0
0.05,1.4142135623730947,0.0
0.05,-0.9999999999999998,0.0
0.05,-1.0000000000000022,0.0
0.05,-2.6457793202159267e-18,0.0
0.05,-1.414213562373094,0.0
0.05,1.956848146169225e-17,0.0
0.05,0.9999999999999997,0.0
0.05,0.0,0.0
0.05,1.0000000000000007,0.0
0.05,-0.9999999999999989,0.0
0.05,-1.0000000000000002,0.0
0.05,-1.0000000000000007,0.0
0.05,1.5694815700848965e-17,0.0
0.05,-5.84769808547404e-17,0.0
0.05,-0.9999999999999999,0.0
0.05,-1.0000000000000004,0.0
0.05,-1.3454066744564752e-16,0.0
0.05,-6.359804681617774e-17,0.0
0.05,-1.0,0.0
0.05,-0.9999999999999998,0.0
0.05,-5.27899009574817e-17,0.0
0.05,7.081201857058714e-17,0.0
0.05,-0.9999999999999994,0.0
0.05,-1.0000000000000004,0.0
0.05,-1.0,0.0
0.05,-1.0000000000000004,0.0
0.05,-1.0,0.0
0.05,-1.0000000000000009,0.0
0.05,-1.0,0.0
0.05,-0.9999999999999998,0.0
0.05,-1.0,0.0
0.05,-1.0000000000000004,0.0
0.05,-1.0000000000000002,0.0
0.05,-0.9999999999999999,0.0
0.05,-1.0,0.0
0.1,32.28093439993698,0.0
0.1,-11.280980338717482,0.0
0.1,2.66870831657688,0.0
0.1,-2.428053244442091,0.0
0.1,1.6108960865116102,0.0
0.1,1.7470082526272548,0.0
0.1,0.7828990546867994,0.0
0.1,-1.9687936957117818,0.0
0.1,-1.8888019825725817,0.0
0.1,-1.6406509454102962,0.0
0.1,-1.2120759696652894,0.0
0.1,-0.5352682429372777,0.0
0.1,0.9722511987866786,0.0
0.1,0.33808282882042,0.0
0.1,0.599466391174378,0.0
0.1,-1.0456221096642018,0.0
0.1,1.385019599828915e-16,0.0
0.1,-0.9999999999999999,6.730369402342474e-16
0.1,-0.9999999999999999,-6.730369402342474e-16
0.1,-1.0000000000000004,0.0
0.1,-9.71445146547012e-17,0.0
0.1,-1.0000000000000002,0.0
0.1,7.29498076102063e-17,0.0
0.1,-6.112021039769225e-17,0.0
0.1,5.945951392134539e-17,0.0
0.1,-0.9999999999999989,0.0
0.1,-1.0,0.0
0.1,-0.9999999999999998,0.0
0.1,-1.0000000000000013,0.0
0.1,-1.0,0.0
0.1,-0.9999999999999994,0.0
0.1,-0.9999999999999991,0.0
