Edit Factor,Eigenvalue (Real),Eigenvalue (Imag)
0.0,80.17988864931397,0.0
0.0,-31.179888649313927,0.0
0.0,-0.9999999999999922,0.0
0.0,-1.0000000000000089,2.465095162570931e-15
0.0,-1.0000000000000089,-2.465095162570931e-15
0.0,-0.9999999999999989,2.2322110008058505e-15
0.0,-0.9999999999999989,-2.2322110008058505e-15
0.0,-1.0000000000000033,0.0
0.0,-1.0000000000000047,0.0
0.0,-1.0000000000000029,0.0
0.0,-0.9999999999999973,0.0
0.0,-0.9999999999999989,0.0
0.0,-0.9999999999999987,5.768888059150691e-16
0.0,-0.9999999999999987,-5.768888059150691e-16
0.0,-1.000000000000001,0.0
0.0,-1.0000000000000013,0.0
0.0,-1.0000000000000004,0.0
0.0,-1.0,0.0
0.0,-0.9999999999999994,4.775249788392736e-16
0.0,-0.9999999999999994,-4.775249788392736e-16
0.0,-0.9999999999999994,1.041481514324134e-15
0.0,-0.9999999999999994,-1.041481514324134e-15
0.0,-0.9999999999999998,0.0
0.0,-1.0000000000000007,7.691850745534255e-16
0.0,-1.0000000000000007,-7.691850745534255e-16
0.0,-0.9999999999999998,0.0
0.0,-0.9999999999999991,0.0
0.0,-1.0000000000000029,0.0
0.0,-1.0000000000000042,0.0
0.0,-0.9999999999999976,0.0
0.0,-0.9999999999999991,1.4744455640084893e-15
0.0,-0.9999999999999991,-1.4744455640084893e-15
0.0,-0.9999999999999998,5.9529077749218605e-16
0.0,-0.9999999999999998,-5.9529077749218605e-16
0.0,-1.0000000000000022,0.0
0.0,-1.000000000000002,9.914608633805194e-16
0.0,-1.000000000000002,-9.914608633805194e-16
0.0,-1.0000000000000007,0.0
0.0,-1.0000000000000004,0.0
0.0,-0.9999999999999989,0.0
0.0,-0.9999999999999976,0.0
0.0,-0.9999999999999983,0.0
0.0,-1.0000000000000009,5.768888059150691e-16
0.0,-1.0000000000000009,-5.768888059150691e-16
0.0,-0.9999999999999991,2.482534153247273e-16
0.0,-0.9999999999999991,-2.482534153247273e-16
0.0,-1.0,2.719479911021037e-16
0.0,-1.0,-2.719479911021037e-16
0.0,-0.9999999999999993,0.0
0.0,-1.0,0.0
0.0,-0.9999999999999996,0.0
0.0,-2.178088752640356e-30,0.0
0.0,-7.434529182757205e-19,0.0
0.0,-7.114932377727607e-31,3.660443124304056e-32
0.0,-7.114932377727607e-31,-3.660443124304056e-32
0.0,-8.122540915448271e-31,0.0
0.0,-7.90745838854814e-31,0.0
0.0,-5.865256339986353e-31,6.619338848297233e-32
0.0,-5.865256339986353e-31,-6.619338848297233e-32
0.0,2.6227710400713163e-31,0.0
0.0,-3.2429113401009442e-31,1.1220406844640966e-31
0.0,-3.2429113401009442e-31,-1.1220406844640966e-31
0.0,-1.059404465772361e-31,0.0
0.0,2.3815838271410975e-32,0.0
0.0,1.8475510370720968e-32,0.0
0.0,-5.283038682161313e-33,0.0
0.0,2.7975648145450515e-33,0.0
0.0,2.5457306350292596e-36,0.0
0.0,1.289695667754699e-34,0.0
0.0,-1.2326534910273674e-34,0.0
0.0,-3.054216366589921e-35,5.121975244159964e-35
0.0,-3.054216366589921e-35,-5.121975244159964e-35
0.0,5.543133780683026e-35,6.800301422180892e-35
0.0,5.543133780683026e-35,-6.800301422180892e-35
0.0,1.1024125191427138e-34,0.0
0.0,4.2640446002023467e-35,2.6370000766752827e-35
0.0,4.2640446002023467e-35,-2.6370000766752827e-35
0.0,7.511022241024187e-35,0.0
0.0,7.660251247936063e-36,8.58597402815481e-35
0.0,7.660251247936063e-36,-8.58597402815481e-35
0.0,-3.682466983650923e-35,9.770220064681742e-37
0.0,-3.682466983650923e-35,-9.770220064681742e-37
0.0,-4.403272104663788e-35,2.16941369886084e-36
0.0,-4.403272104663788e-35,-2.16941369886084e-36
0.0,-5.442975533142384e-36,6.465064098257677e-36
0.0,-5.442975533142384e-36,-6.465064098257677e-36
0.0,3.578612726395869e-35,0.0
0.0,-3.301774456790246e-47,0.0
0.0,-6.107468490452128e-48,0.0
0.0,4.359879189339434e-48,3.5434563449297336e-48
0.0,4.359879189339434e-48,-3.5434563449297336e-48
0.0,6.167565318967171e-48,0.0
0.0,2.78855665063103e-48,1.867388775530097e-48
0.0,2.78855665063103e-48,-1.867388775530097e-48
0.0,-7.132730187385728e-49,0.0
0.0,-2.0282067826432432e-50,0.0
0.0,-3.883431353148544e-52,0.0
0.0,-1.5779052333069867e-49,0.0
