Edit Factor,Eigenvalue (Real),Eigenvalue (Imag)
0.0,99.33481809959872,0.0
0.0,-50.33481809959865,0.0
0.0,-0.9999999999999978,1.4925662402559646e-14
0.0,-0.9999999999999978,-1.4925662402559646e-14
0.0,-1.0000000000000069,0.0
0.0,-0.9999999999999971,0.0
0.0,-1.684934784109587e-16,7.189418810991208e-17
0.0,-1.684934784109587e-16,-7.189418810991208e-17
0.0,-1.0322862091818695e-16,0.0
0.0,2.339833282649658e-17,0.0
0.0,-1.186278538890201e-18,0.0
0.0,-0.9999999999999998,0.0
0.0,-1.0000000000000056,0.0
0.0,-1.000000000000002,1.0941471808815784e-15
0.0,-1.000000000000002,-1.0941471808815784e-15
0.0,-1.0000000000000049,0.0
0.0,-1.0000000000000029,0.0
0.0,-1.000000000000001,0.0
0.0,-1.0000000000000024,0.0
0.0,-1.000000000000002,0.0
0.0,-1.0000000000000004,0.0
0.0,-1.0000000000000027,0.0
0.0,-1.0000000000000009,0.0
0.0,-1.7644210488228907e-15,0.0
0.0,-1.0000000000000093,0.0
0.0,-1.0000000000000058,0.0
0.0,-0.999999999999998,0.0
0.0,-1.000000000000005,0.0
0.0,-0.9999999999999942,0.0
0.0,-1.0,1.902826396560654e-15
0.0,-1.0,-1.902826396560654e-15
0.0,-0.9999999999999969,4.9553614188005765e-16
0.0,-0.9999999999999969,-4.9553614188005765e-16
0.0,-0.9999999999999981,0.0
0.0,-0.9999999999999974,0.0
0.0,-0.9999999999999973,0.0
0.0,-0.999999999999999,0.0
0.0,-0.9999999999999989,0.0
0.0,-1.0000000000000056,0.0
0.0,-1.0000000000000064,0.0
0.0,-1.0000000000000024,1.588627898258442e-15
0.0,-1.0000000000000024,-1.588627898258442e-15
0.0,-1.0000000000000044,0.0
0.0,-1.0000000000000027,0.0
0.0,-1.0000000000000062,0.0
0.0,-1.0,0.0
0.0,-1.000000000000002,0.0
0.0,5.608262700396109e-16,0.0
0.0,-2.819442557683813e-16,0.0
0.0,-0.9999999999999998,0.0
0.0,-1.0000000000000027,4.4060610344641545e-16
0.0,-1.0000000000000027,-4.4060610344641545e-16
0.0,-1.0000000000000004,0.0
0.0,-1.0000000000000018,0.0
0.0,-1.0,0.0
0.0,-1.000000000000001,0.0
0.0,-1.0000000000000013,0.0
0.0,-0.9999999999999987,0.0
0.0,-1.0000000000000018,0.0
0.0,2.415664250796591e-16,0.0
0.0,-1.9826262781716e-16,0.0
0.0,3.524390868997701e-17,1.6548674917862843e-16
0.0,3.524390868997701e-17,-1.6548674917862843e-16
0.0,1.6018949352936447e-16,0.0
0.0,7.794207513212766e-17,1.0064305249980956e-16
0.0,7.794207513212766e-17,-1.0064305249980956e-16
0.0,-1.1255031302093795e-16,6.249716203702705e-17
0.0,-1.1255031302093795e-16,-6.249716203702705e-17
0.0,1.0157377728505632e-16,0.0
0.0,-6.318214639907055e-17,7.719819596861093e-17
0.0,-6.318214639907055e-17,-7.719819596861093e-17
0.0,-2.6659483136941708e-18,9.461933946520916e-17
0.0,-2.6659483136941708e-18,-9.461933946520916e-17
0.0,5.680556839376179e-17,3.0619454291060933e-17
0.0,5.680556839376179e-17,-3.0619454291060933e-17
0.0,-1.928795181793265e-17,4.335431537439567e-17
0.0,-1.928795181793265e-17,-4.335431537439567e-17
0.0,-5.772728759569867e-17,0.0
0.0,-4.085699211215863e-17,1.801242344718869e-17
0.0,-4.085699211215863e-17,-1.801242344718869e-17
0.0,-4.31250675816261e-17,0.0
0.0,3.735943784758468e-17,0.0
0.0,-7.878190002116498e-19,2.5457123468435435e-17
0.0,-7.878190002116498e-19,-2.5457123468435435e-17
0.0,-2.0342561943796568e-17,0.0
0.0,-3.5672117797643974e-18,1.7328387012043176e-18
0.0,-3.5672117797643974e-18,-1.7328387012043176e-18
0.0,-4.108104165151387e-19,0.0
0.0,-1.7514203953294445e-22,0.0
0.0,-8.041125371637538e-32,0.0
0.0,-1.6445689656144788e-31,0.0
0.0,-6.771557611053083e-33,0.0
0.0,-3.475590077134905e-33,3.936077504314083e-33
0.0,-3.475590077134905e-33,-3.936077504314083e-33
0.0,-7.432582944616475e-34,3.553297566473218e-33
0.0,-7.432582944616475e-34,-3.553297566473218e-33
0.0,-3.254806166425403e-33,0.0
0.0,2.6805329802422844e-33,0.0
0.0,1.1616653922495665e-33,8.67678361349089e-34
0.0,1.1616653922495665e-33,-8.67678361349089e-34
0.0,6.039192103794541e-34,0.0
0.0,-3.1735275072978685e-34,8.422032465552852e-35
0.0,-3.1735275072978685e-34,-8.422032465552852e-35
0.0,5.560363462430489e-36,0.0
0.0,7.2424133548245126e-37,0.0
0.0,2.0055370637169434e-47,0.0
0.0,5.1380968518093555e-48,0.0
0.0,-1.5877402234679243e-48,0.0
0.0,-4.4154386617440324e-49,3.3371208507471284e-49
0.0,-4.4154386617440324e-49,-3.3371208507471284e-49
0.0,3.309971575936083e-49,0.0
0.0,-1.9215795605266194e-49,0.0
0.0,1.715364952452784e-49,3.340008405829024e-50
0.0,1.715364952452784e-49,-3.340008405829024e-50
0.0,-3.3842440043652925e-50,1.1982435362311244e-49
0.0,-3.3842440043652925e-50,-1.1982435362311244e-49
0.0,1.9649534461196002e-50,0.0
0.0,-7.703788539391159e-51,0.0
0.0,1.3421774265597556e-52,7.246714584712559e-51
0.0,1.3421774265597556e-52,-7.246714584712559e-51
0.0,1.3778541074809238e-51,0.0
0.0,-3.630114520610115e-64,3.5965810099398645e-64
0.0,-3.630114520610115e-64,-3.5965810099398645e-64
0.0,2.3224616417656946e-64,0.0
0.0,-1.0549126209783445e-64,0.0
0.0,3.6278089046890623e-65,2.315303797940811e-65
0.0,3.6278089046890623e-65,-2.315303797940811e-65
0.0,-1.977071830480979e-65,1.168074840286892e-65
0.0,-1.977071830480979e-65,-1.168074840286892e-65
0.0,2.4423760303187885e-66,1.396478390073049e-65
0.0,2.4423760303187885e-66,-1.396478390073049e-65
0.0,1.003207094220341e-65,0.0
0.0,-2.476272334425011e-66,0.0
0.0,-6.304923827388965e-67,0.0
0.0,8.901760160268594e-67,1.4902784139376598e-67
0.0,8.901760160268594e-67,-1.4902784139376598e-67
0.0,-1.5126302193877944e-67,0.0
0.0,-7.958897812358477e-80,0.0
0.0,9.465256882872216e-80,0.0
0.0,2.6352414156437752e-80,0.0
0.0,1.7614203504906618e-80,0.0
0.0,-1.0762283094077223e-80,0.0
0.0,-5.833329216137049e-81,0.0
0.0,9.289963236882618e-82,2.4290377090191026e-81
0.0,9.289963236882618e-82,-2.4290377090191026e-81
0.0,2.0384471687299475e-82,5.660895219717217e-82
0.0,2.0384471687299475e-82,-5.660895219717217e-82
0.0,5.1176132431246977e-82,0.0
0.0,3.777104107941223e-83,0.0
0.0,-6.698772431924425e-82,0.0
0.05,97.74326166555002,0.0
0.05,-51.18466107883086,0.0
0.05,2.427353678813733,0.0
0.05,-3.8940706917723698,0.0
0.05,1.8835716065075052,0.0
0.05,1.6876650157897641,0.0
0.05,-3.6741266443514506,0.0
0.05,-3.5681783542176246,0.0
0.05,1.4616103203607007,0.0
0.05,-3.304732825726282,0.0
0.05,1.210835683127999,0.0
0.05,1.0673450524226313,0.0
0.05,-2.9598151465156257,0.0
0.05,-2.8114833903005234,0.0
0.05,-2.654020326875477,0.0
0.05,-2.605489804153792,0.0
0.05,-2.4674947232307063,0.0
0.05,-2.406651374615907,0.0
0.05,-2.250976962852898,0.0
0.05,-1.9453830297014962,0.0
0.05,-2.017355484925759,0.0
0.05,-2.11254901732087,0.0
0.05,0.8312736536220945,0.0
0.05,-1.7305945447294657,0.0
0.05,-1.620060536060593,0.0
0.05,-1.2937293791848097,0.0
0.05,-1.4538309172614299,0.0
0.05,-1.4209534233204362,0.0
0.05,0.6628747113598843,0.0
0.05,0.5929733921889635,0.0
0.05,-1.1806913756939885,0.0
0.05,-1.360853162764399,0.0
0.05,-0.7772020000847605,0.0
0.05,0.304076951383137,0.0
0.05,-0.7438951440516461,0.0
0.05,-0.621739665515678,0.0
0.05,-0.4018176876047256,0.0
0.05,-0.5005639851396082,0.0
0.05,0.1543135710074039,0.0
0.05,-0.9999999999999982,0.0
0.05,-1.0000000000000018,0.0
0.05,-0.9999999999999941,0.0
0.05,-0.14993921137506247,0.0
0.05,0.11163942358235394,0.0
0.05,-1.0000000000000016,9.28879225241625e-16
0.05,-1.0000000000000016,-9.28879225241625e-16
0.05,-0.9999999999999964,0.0
0.05,-0.9999999999999982,0.0
0.05,-0.10226080764774889,0.0
0.05,0.07632597010986292,0.0
0.05,-2.9103490960887066e-16,0.0
0.05,-1.227464342522282e-16,2.5661962616338414e-16
0.05,-1.227464342522282e-16,-2.5661962616338414e-16
0.05,1.2895448733445972e-16,1.725515935670121e-16
0.05,1.2895448733445972e-16,-1.725515935670121e-16
0.05,-6.138388959098793e-17,6.024614358582664e-17
0.05,-6.138388959098793e-17,-6.024614358582664e-17
0.05,5.204358395873343e-17,5.476744872906926e-17
0.05,5.204358395873343e-17,-5.476744872906926e-17
0.05,4.915795647898728e-17,1.391459230340959e-17
0.05,4.915795647898728e-17,-1.391459230340959e-17
0.05,-1.0493191229318727e-17,2.0781351716322464e-17
0.05,-1.0493191229318727e-17,-2.0781351716322464e-17
0.05,-2.1150910289938725e-17,0.0
0.05,-9.957544749449485e-18,7.167260209765998e-19
0.05,-9.957544749449485e-18,-7.167260209765998e-19
0.05,6.632233022320371e-18,0.0
0.05,2.900179137240398e-18,0.0
0.05,-3.102977280520938e-18,0.0
0.05,-7.952987014803187e-19,0.0
0.05,1.9397662294574244e-19,0.0
0.05,1.2430453003194086e-27,0.0
0.05,1.473316777924826e-31,0.0
0.05,-3.0918407144038384e-32,0.0
0.05,7.630703255983988e-33,0.0
0.05,-8.532760900888156e-34,7.152057691419677e-33
0.05,-8.532760900888156e-34,-7.152057691419677e-33
0.05,-4.644758799539007e-33,0.0
0.05,4.60201693486392e-34,3.440477881389948e-33
0.05,4.60201693486392e-34,-3.440477881389948e-33
0.05,-6.862996266128809e-34,1.6484282652256224e-33
0.05,-6.862996266128809e-34,-1.6484282652256224e-33
0.05,7.910601168029728e-34,5.764329512341758e-34
0.05,7.910601168029728e-34,-5.764329512341758e-34
0.05,-5.535268523183089e-34,0.0
0.05,-1.1727174634715757e-34,3.3228750771428983e-34
0.05,-1.1727174634715757e-34,-3.3228750771428983e-34
0.05,-9.660752489802423e-37,0.0
0.05,-7.204713119784195e-41,0.0
0.05,-6.806164733342875e-47,0.0
0.05,4.3185478317272623e-48,3.988114918570947e-48
0.05,4.3185478317272623e-48,-3.988114918570947e-48
0.05,-2.2551306238621197e-48,0.0
0.05,2.6016446061290107e-49,5.170045528397807e-49
0.05,2.6016446061290107e-49,-5.170045528397807e-49
0.05,1.7809709082455443e-49,0.0
0.05,-2.226250100430133e-49,0.0
0.05,6.687879708265452e-50,2.215334343887078e-50
0.05,6.687879708265452e-50,-2.215334343887078e-50
0.05,-3.776776868761947e-50,8.108937563481592e-50
0.05,-3.776776868761947e-50,-8.108937563481592e-50
0.05,-5.420806426665432e-50,3.3494013166264157e-50
0.05,-5.420806426665432e-50,-3.3494013166264157e-50
0.05,1.3829232579645185e-52,0.0
0.05,9.420312167538516e-56,0.0
0.05,-9.261239388095471e-62,0.0
0.05,4.289313136291001e-61,0.0
0.05,1.0481775277451316e-63,0.0
0.05,-7.993866429798624e-64,0.0
0.05,2.0780439380261652e-64,2.0818217184858593e-64
0.05,2.0780439380261652e-64,-2.0818217184858593e-64
0.05,-1.901935394125787e-64,0.0
0.05,-1.009992597213701e-64,9.76138454543452e-65
0.05,-1.009992597213701e-64,-9.76138454543452e-65
0.05,-1.0714501435580703e-64,0.0
0.05,6.521781458106545e-65,0.0
0.05,4.456763706636671e-65,4.227771258527513e-65
0.05,4.456763706636671e-65,-4.227771258527513e-65
0.05,-5.798253526800337e-65,0.0
0.05,1.6037469777905942e-66,0.0
0.05,-7.32036836085514e-71,0.0
0.05,1.0915034827632912e-76,0.0
0.05,8.459557195131671e-79,0.0
0.05,-1.580371128153522e-78,0.0
0.05,1.1008299365665633e-79,0.0
0.05,-3.6451409517257386e-80,0.0
0.05,1.445195414538219e-80,0.0
0.05,-6.502474800075142e-81,3.6236376690759635e-81
0.05,-6.502474800075142e-81,-3.6236376690759635e-81
0.05,5.574381450642155e-81,3.0111693301049535e-81
0.05,5.574381450642155e-81,-3.0111693301049535e-81
0.05,-6.083741536524842e-82,4.763323765195492e-81
0.05,-6.083741536524842e-82,-4.763323765195492e-81
0.05,-5.994492774883086e-82,0.0
0.05,9.690627325477792e-82,0.0
0.05,2.1466153871972235e-83,0.0
0.05,5.5805652741489635e-86,0.0
0.05,-1.2987722442512033e-92,0.0
0.05,1.0044981212727403e-94,0.0
0.05,9.191643836656071e-95,0.0
0.05,-1.0372743246231672e-95,0.0
0.05,3.3159027229471666e-96,0.0
0.05,-8.80337851046502e-97,0.0
0.05,8.984187079982878e-97,0.0
0.05,1.3331325499586237e-97,2.5713363374244787e-97
0.05,1.3331325499586237e-97,-2.5713363374244787e-97
0.05,-4.9956153603640204e-98,2.2524546337536166e-98
0.05,-4.9956153603640204e-98,-2.2524546337536166e-98
0.05,2.8258979864685214e-97,0.0
0.05,2.1689322157976974e-97,0.0
0.1,96.1672751180901,0.0
0.1,-52.05017754535459,0.0
0.1,-5.0607118800630655,0.0
0.1,3.1588854028260496,0.0
0.1,-4.756823907548753,0.0
0.1,2.824034396892575,0.0
0.1,-4.274269313608041,0.0
0.1,-4.124334430571183,0.0
0.1,2.4479947475288077,0.0
0.1,2.2282496208070257,0.0
0.1,2.1043737987886697,0.0
0.1,-3.8320925024858004,0.0
0.1,-3.5034560657644795,0.0
0.1,-3.301571843797705,0.0
0.1,-3.1549166154773096,0.0
0.1,-2.8786656281805123,0.0
0.1,-2.767616158610542,0.0
0.1,1.7780890570358396,0.0
0.1,1.635448196683152,0.0
0.1,-2.6701402868893878,0.0
0.1,-2.652043874958159,0.0
0.1,1.4146782438414813,0.0
0.1,-2.4175185077408496,0.0
0.1,-2.344043115342029,0.0
0.1,1.3314156557005548,0.0
0.1,-2.207156147318061,0.0
0.1,1.076153602584526,0.0
0.1,0.8982000895227227,0.0
0.1,0.8735971676851937,0.0
0.1,-2.0083459183074615,0.0
0.1,-1.957763197257951,0.0
0.1,-1.7725944447083626,0.0
0.1,-1.6460684628969533,0.0
0.1,-1.546549361818279,0.0
0.1,-1.3784204113854885,0.0
0.1,-1.064859302296025,0.0
0.1,-1.156367184185405,0.0
0.1,-1.2003088812092202,0.0
0.1,-0.9230930755502106,0.0
0.1,0.6442774908610035,0.0
0.1,0.4682057175325784,0.0
0.1,0.39124512144668827,0.0
0.1,-0.7044272116158579,0.0
0.1,0.2680607013632149,0.0
0.1,-0.5927240122842958,0.0
0.1,-0.6087504575408235,0.0
0.1,-0.4350134850879807,0.0
0.1,-0.37332915880131806,0.0
0.1,-0.2555406882011164,0.0
0.1,-0.21307681041593624,0.0
0.1,0.12258575808283274,0.0
0.1,-1.0937402689999994e-17,0.0
0.1,3.5236539611497746e-17,0.0
0.1,9.849557984280101e-18,0.0
0.1,-6.626191563548904e-18,3.969770458552631e-18
0.1,-6.626191563548904e-18,-3.969770458552631e-18
0.1,5.685601046869548e-18,0.0
0.1,-3.3412009452786756e-18,2.437554991108665e-19
0.1,-3.3412009452786756e-18,-2.437554991108665e-19
0.1,2.2137976462906948e-18,9.247163213053567e-19
0.1,2.2137976462906948e-18,-9.247163213053567e-19
0.1,-1.6639677562707637e-18,1.8503707181979175e-18
0.1,-1.6639677562707637e-18,-1.8503707181979175e-18
0.1,5.643570227007344e-21,0.0
0.1,1.9844101840571243e-23,0.0
0.1,3.914399578985923e-33,8.068737661022859e-33
0.1,3.914399578985923e-33,-8.068737661022859e-33
0.1,-5.870099763925245e-33,1.79515508471244e-33
0.1,-5.870099763925245e-33,-1.79515508471244e-33
0.1,3.2806517493478877e-34,3.534349099136386e-33
0.1,3.2806517493478877e-34,-3.534349099136386e-33
0.1,-2.8014872774182344e-33,1.1683950438634814e-33
0.1,-2.8014872774182344e-33,-1.1683950438634814e-33
0.1,1.7858749514996895e-33,0.0
0.1,1.933035747124641e-34,1.6174416541970872e-33
0.1,1.933035747124641e-34,-1.6174416541970872e-33
0.1,-6.020543316441346e-34,0.0
0.1,-1.6130758577405433e-35,6.298073191949991e-35
0.1,-1.6130758577405433e-35,-6.298073191949991e-35
0.1,-3.371529622190284e-36,0.0
0.1,3.998337482909769e-38,6.980040722771484e-38
0.1,3.998337482909769e-38,-6.980040722771484e-38
0.1,1.8235385483895534e-45,0.0
0.1,-6.49833980437278e-48,0.0
0.1,2.8210251664904114e-48,0.0
0.1,1.8992610703007642e-48,0.0
0.1,-1.1954077269338982e-48,0.0
0.1,-2.798199422702625e-49,7.499016271816882e-49
0.1,-2.798199422702625e-49,-7.499016271816882e-49
0.1,-3.3758214842823925e-49,0.0
0.1,5.615593171614969e-50,1.7018741920270488e-49
0.1,5.615593171614969e-50,-1.7018741920270488e-49
0.1,1.7976817163693538e-49,0.0
0.1,-4.810709901661641e-50,5.339848091986095e-50
0.1,-4.810709901661641e-50,-5.339848091986095e-50
0.1,-6.044569177370363e-52,0.0
0.1,-2.0232558407379247e-51,0.0
0.1,2.3854571139547046e-54,0.0
0.1,-1.797820584729527e-61,0.0
0.1,1.6192812666024162e-63,0.0
0.1,-1.1848173042764174e-63,3.0109210310812814e-64
0.1,-1.1848173042764174e-63,-3.0109210310812814e-64
0.1,1.2015997018320126e-64,3.425398721777791e-64
0.1,1.2015997018320126e-64,-3.425398721777791e-64
0.1,-2.0577062312722132e-64,0.0
0.1,1.6849108075533508e-64,0.0
