Edit Factor,Eigenvalue (Real),Eigenvalue (Imag)
0.0,64.5031248779392,0.0
0.0,-0.9999999999999984,0.0
0.0,-15.503124877939229,0.0
0.0,1.1834093086264156e-16,0.0
0.0,-1.1347928824026123e-16,0.0
0.0,-3.267095145319681e-17,0.0
0.0,-0.9999999999999981,0.0
0.0,-0.9999999999999993,0.0
0.0,-0.9999999999999993,0.0
0.0,-1.0000000000000002,0.0
0.0,-6.03996004099528e-17,4.607081210402784e-17
0.0,-6.03996004099528e-17,-4.607081210402784e-17
0.0,2.0292061603927712e-17,0.0
0.0,3.839233014809633e-17,0.0
0.0,-1.0000000000000013,0.0
0.0,-1.0000000000000004,0.0
0.0,-0.999999999999999,0.0
0.0,-1.0,0.0
0.0,-8.263102354891428e-17,0.0
0.0,5.0922112436212016e-17,0.0
0.0,-0.9999999999999998,0.0
0.0,-1.0000000000000004,0.0
0.0,-8.496347455599837e-17,0.0
0.0,1.0238754508575435e-17,0.0
0.0,-1.0000000000000002,0.0
0.0,-1.0000000000000002,0.0
0.0,-1.0000000000000002,0.0
0.0,-4.9008872817533746e-17,5.1312914542472626e-17
0.0,-4.9008872817533746e-17,-5.1312914542472626e-17
0.0,-1.0,0.0
0.0,-0.9999999999999996,0.0
0.0,-0.9999999999999998,0.0
0.0,4.3625584915385485e-17,0.0
0.0,-1.0000000000000002,0.0
0.0,-0.9999999999999989,0.0
0.0,-0.9999999999999998,0.0
0.0,-0.9999999999999998,0.0
0.0,-0.9999999999999996,0.0
0.0,-1.0000000000000004,0.0
0.0,-1.0,0.0
0.0,-0.9999999999999992,0.0
0.0,-0.9999999999999999,0.0
0.0,-1.0000000000000004,0.0
0.0,-0.9999999999999993,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-6.938893903907228e-18,0.0
0.0,-0.9999999999999991,0.0
0.0,-1.0,0.0
0.0,-0.9999999999999997,0.0
0.0,-1.0000000000000002,0.0
0.0,-1.0000000000000002,0.0
0.0,-3.484264012157211e-18,4.33177905709658e-17
0.0,-3.484264012157211e-18,-4.33177905709658e-17
0.0,-1.0,0.0
0.0,-0.9999999999999996,0.0
0.0,-0.9999999999999998,0.0
0.0,-2.6139317750013986e-18,0.0
0.0,-3.43304412254429e-17,0.0
0.0,-0.9999999999999997,0.0
0.0,-0.9999999999999999,0.0
0.0,-1.0000000000000002,0.0
0.0,-0.9999999999999998,0.0
0.0,-0.9999999999999994,0.0
0.0,-0.9999999999999997,0.0
0.0,-0.9999999999999986,0.0
0.0,-0.9999999999999992,0.0
0.0,-1.0000000000000002,0.0
0.0,-1.0000000000000004,0.0
0.0,-0.9999999999999998,0.0
0.05,61.580245810205156,0.0
0.05,-14.02410292251871,0.0
0.05,3.011682495018045,0.0
0.05,2.648428157304961,0.0
0.05,2.530140842158263,0.0
0.05,-4.099046853705418,0.0
0.05,-4.057437191922895,0.0
0.05,-3.919453450210424,0.0
0.05,2.2484973738760874,0.0
0.05,-3.7017908377817603,0.0
0.05,2.066942443479043,0.0
0.05,2.032196178336091,0.0
0.05,1.854788789382416,0.0
0.05,1.7777665247761283,0.0
0.05,1.7195413887526887,0.0
0.05,1.6880553795629327,0.0
0.05,-3.3852958939089715,0.0
0.05,-3.3635576384885675,0.0
0.05,-3.2665601304900975,0.0
0.05,-3.103813925298618,0.0
0.05,-3.014972449652678,0.0
0.05,1.3887972219928462,0.0
0.05,1.274260662703116,0.0
0.05,1.2218221216316667,0.0
0.05,1.1395178398580508,0.0
0.05,1.0395229830134705,0.0
0.05,-2.878241523298484,0.0
0.05,-2.705897011743707,0.0
0.05,-2.6488557274687787,0.0
0.05,-2.578003566884914,0.0
0.05,0.8532606198651836,0.0
0.05,0.7629374677348798,0.0
0.05,0.7323354517696218,0.0
0.05,0.5879135758533052,0.0
0.05,0.5090458650832441,0.0
0.05,0.44769309575323474,0.0
0.05,-2.356447219305681,0.0
0.05,-2.2984517401598703,0.0
0.05,0.28484241790455167,0.0
0.05,-2.180398428070629,0.0
0.05,0.17991410151688852,0.0
0.05,0.1198312038446824,0.0
0.05,0.04804932631649898,0.0
0.05,-0.06673698003083332,0.0
0.05,-0.09284841825546107,0.0
0.05,-2.093604914474092,0.0
0.05,-0.2666706641621675,0.0
0.05,-1.97392828076981,0.0
0.05,-0.3890547795552347,0.0
0.05,-0.42033814869739095,0.0
0.05,-0.5046774643241193,0.0
0.05,-0.6267347437630252,0.0
0.05,-0.6664721471159452,0.0
0.05,-0.7237090613862706,0.0
0.05,-0.7987938171448141,0.0
0.05,-1.8943884073288189,0.0
0.05,-0.9199917987063276,0.0
0.05,-0.9474655262754392,0.0
0.05,-1.8217941500799057,0.0
0.05,-1.7975213448719078,0.0
