Edit Factor,Eigenvalue (Real),Eigenvalue (Imag)
0.0,64.5031248779392,0.0
0.0,-0.9999999999999984,0.0
0.0,-15.503124877939229,0.0
0.0,1.1834093086264156e-16,0.0
0.0,-1.1347928824026123e-16,0.0
0.0,-3.267095145319681e-17,0.0
0.0,-0.9999999999999981,0.0
0.0,-0.9999999999999993,0.0
0.0,-0.9999999999999993,0.0
0.0,-1.0000000000000002,0.0
0.0,-6.03996004099528e-17,4.607081210402784e-17
0.0,-6.03996004099528e-17,-4.607081210402784e-17
0.0,2.0292061603927712e-17,0.0
0.0,3.839233014809633e-17,0.0
0.0,-1.0000000000000013,0.0
0.0,-1.0000000000000004,0.0
0.0,-0.999999999999999,0.0
0.0,-1.0,0.0
0.0,-8.263102354891428e-17,0.0
0.0,5.0922112436212016e-17,0.0
0.0,-0.9999999999999998,0.0
0.0,-1.0000000000000004,0.0
0.0,-8.496347455599837e-17,0.0
0.0,1.0238754508575435e-17,0.0
0.0,-1.0000000000000002,0.0
0.0,-1.0000000000000002,0.0
0.0,-1.0000000000000002,0.0
0.0,-4.9008872817533746e-17,5.1312914542472626e-17
0.0,-4.9008872817533746e-17,-5.1312914542472626e-17
0.0,-1.0,0.0
0.0,-0.9999999999999996,0.0
0.0,-0.9999999999999998,0.0
0.0,4.3625584915385485e-17,0.0
0.0,-1.0000000000000002,0.0
0.0,-0.9999999999999989,0.0
0.0,-0.9999999999999998,0.0
0.0,-0.9999999999999998,0.0
0.0,-0.9999999999999996,0.0
0.0,-1.0000000000000004,0.0
0.0,-1.0,0.0
0.0,-0.9999999999999992,0.0
0.0,-0.9999999999999999,0.0
0.0,-1.0000000000000004,0.0
0.0,-0.9999999999999993,0.0
0.0,-1.0,0.0
0.0,-1.0,0.0
0.0,-6.938893903907228e-18,0.0
0.0,-0.9999999999999991,0.0
0.0,-1.0,0.0
0.0,-0.9999999999999997,0.0
0.0,-1.0000000000000002,0.0
0.0,-1.0000000000000002,0.0
0.0,-3.484264012157211e-18,4.33177905709658e-17
0.0,-3.484264012157211e-18,-4.33177905709658e-17
0.0,-1.0,0.0
0.0,-0.9999999999999996,0.0
0.0,-0.9999999999999998,0.0
0.0,-2.6139317750013986e-18,0.0
0.0,-3.43304412254429e-17,0.0
0.0,-0.9999999999999997,0.0
0.0,-0.9999999999999999,0.0
0.0,-1.0000000000000002,0.0
0.0,-0.9999999999999998,0.0
0.0,-0.9999999999999994,0.0
0.0,-0.9999999999999997,0.0
0.0,-0.9999999999999986,0.0
0.0,-0.9999999999999992,0.0
0.0,-1.0000000000000002,0.0
0.0,-1.0000000000000004,0.0
0.0,-0.9999999999999998,0.0
0.05,64.68124459676497,0.0
0.05,-14.81469475542054,0.0
0.05,1.2085034276561963,0.0
0.05,0.6505529960208987,0.0
0.05,-1.725606265021573,0.0
0.05,1.732050807568875,0.0
0.05,-1.7320508075688776,0.0
0.05,-3.3915096416001777e-16,0.0
0.05,-1.8526694645145004e-17,0.0
0.05,0.9999999999999993,0.0
0.05,1.0000000000000007,0.0
0.05,4.2032116120106216e-17,0.0
0.05,1.2623942078174907e-16,0.0
0.05,-4.343186687473264e-17,2.3742877687185345e-17
0.05,-4.343186687473264e-17,-2.3742877687185345e-17
0.05,-1.0000000000000002,0.0
0.05,-1.0000000000000022,0.0
0.05,-1.0000000000000027,0.0
0.05,-0.9999999999999996,0.0
0.05,-1.0000000000000016,0.0
0.05,-1.0000000000000009,0.0
0.05,-1.0000000000000002,0.0
0.05,-1.0,0.0
0.05,7.40263081067567e-17,0.0
0.05,5.86690168165447e-17,0.0
0.05,-1.0000000000000004,0.0
0.05,-0.9999999999999996,0.0
0.05,-1.0000000000000004,0.0
0.05,-1.377614385414394e-17,0.0
0.05,-0.9999999999999996,0.0
0.05,-1.0000000000000007,0.0
0.05,-1.0,0.0
0.05,-0.9999999999999997,0.0
0.05,-1.0000000000000009,0.0
0.05,-1.0000000000000004,0.0
0.05,-0.9999999999999998,0.0
0.05,-1.0000000000000002,0.0
0.05,-1.0,0.0
0.05,-0.9999999999999989,0.0
0.05,-1.0,0.0
0.05,-0.9999999999999998,0.0
0.05,-1.0000000000000004,0.0
0.05,-0.9999999999999996,0.0
0.05,-1.0,0.0
0.05,-1.0000000000000002,0.0
0.05,-0.9999999999999998,0.0
0.05,-0.9999999999999998,0.0
0.05,-0.9999999999999989,0.0
0.05,-1.0000000000000004,0.0
0.05,-0.9999999999999994,0.0
0.05,-0.9999999999999999,0.0
0.05,-1.0000000000000002,0.0
0.05,-0.9999999999999998,0.0
0.05,-1.0,0.0
0.05,-0.9999999999999998,0.0
0.05,-0.9999999999999998,0.0
0.05,-0.9999999999999988,0.0
